ds,yhat,yhat_lower,yhat_upper
2017-10-19,374.8173119650079,298.82977550636696,456.2353351401859
2017-10-23,375.46988005659665,296.1841784987165,449.6889889491617
2017-10-24,376.3001661320216,298.16795167781356,458.4534214255105
2017-10-25,375.8883747563454,300.00334851041833,456.7393312241241
2017-10-26,376.34067489943567,302.02871055103344,457.28604325464676
2017-10-27,375.76653701341826,300.2262505758691,448.62950219558167
2017-10-30,375.2723528940651,296.89317852320863,446.52685080704595
2017-10-31,375.6033931353042,294.5960679030018,453.74650705981253
2017-11-01,374.69268715367235,302.556818289964,452.0221428353021
2017-11-02,374.66163046179287,292.9065052019971,448.87884110743147
2017-11-03,373.63497057598994,290.92087807729104,454.73079284496686
2017-11-06,372.11250055758853,293.4448435617488,451.2374940987839
2017-11-07,372.2527905060929,298.01203097037336,463.9107653940241
2017-11-08,371.24415978380324,294.7013174586404,450.0084645856784
2017-11-09,371.21479281674203,292.8463296484844,444.62433975509856
2017-11-10,370.29364567206613,293.00255145592297,446.16428459445495
2017-11-13,369.71072625197047,294.260210807615,448.9792144221231
2017-11-14,370.3575083908746,290.1420256667851,446.99026740087
2017-11-15,369.9378339737601,293.21732434167563,447.2258319836575
2017-11-16,370.5675035552591,293.6736583330662,451.2764715077134
2017-11-17,370.36087627682656,292.985714155872,449.62180570015045
2017-11-20,372.08308619410275,297.6867177412507,443.5303671103351
2017-11-21,373.48963527574523,298.0160322945526,449.4135855680734
2017-11-22,373.79323326940465,300.14808849041265,455.2102980947477
2017-11-23,375.09088137595825,300.6749657668072,452.6936752279874
2017-11-24,375.4792112501649,299.58810724493236,454.198447785837
2017-11-27,378.39716476694065,301.6516715633128,458.17284048550994
2017-11-28,379.9673443523125,301.98244537293886,456.60910856035866
2017-11-29,380.30491575899765,298.79107943447144,458.8276280764211
2017-11-30,381.50436851185185,301.62172216594354,456.2238335476744
2017-12-01,381.66322282617466,307.4700910076966,465.3668876620245
2017-12-04,383.1648386173548,312.87914128883796,460.1629995801779
2017-12-05,384.05625845895827,304.8099335258054,456.61977674234015
2017-12-06,383.6369157761298,311.81892645790947,464.0766382849594
2017-12-07,384.0199649660282,306.196623510974,456.03558196112976
2017-12-08,383.32334270573995,303.86877684325447,462.65546409324077
2017-12-11,382.243374612177,306.7689286096547,459.1392662286909
2017-12-12,382.3433560511227,309.8450356661881,466.59254506723937
2017-12-13,381.20267092730603,307.00601859220524,455.29313427302054
2017-12-14,380.95369667499483,311.08054174615097,459.28910234769626
2017-12-15,379.731447441893,295.27607764331344,448.683739655037
2017-12-18,377.8423207100641,298.204071573816,457.7728600982007
2017-12-19,377.95538818285667,300.943801987395,455.01345912508765
2017-12-20,376.973725310301,300.8205565534271,454.82998864229074
2017-12-21,377.0268570267318,293.94992616787476,455.754902251596
2017-12-22,376.24326385262657,300.78582759054416,455.7917582678175
2017-12-26,377.33908408001355,299.66334692888785,457.91275903780615
2017-12-27,377.2679122124933,300.0348694141614,458.77328657399806
2017-12-28,378.2664290872249,297.23857062865125,455.7296098849269
